BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;79;416.16;1.020;1.019;105;103.1;4999.7;554.4;48;8;10800;127.794;21.812;193.610;6.83;9;9;9
BENCH;80;417.18;1.020;1.021;120;117.5;4999.7;554.4;10;8;2250;27.181;21.769;95.226;8.40;9;9;9
BENCH;81;418.20;1.020;1.018;123;120.8;4999.7;554.4;2;0;450;5.408;0.000;68.661;6.00;6;9;9
BENCH;82;419.22;1.020;1.042;119;114.2;4999.7;554.4;16;8;3600;44.124;22.286;111.984;8.50;9;9;9
BENCH;83;420.24;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.461;22.348;108.739;8.50;9;9;9
BENCH;84;421.26;1.020;1.016;116;114.2;4999.7;554.4;16;8;3600;42.952;21.624;108.775;7.50;9;9;9
BENCH;85;422.28;1.020;1.019;115;112.8;4999.7;554.4;20;8;4500;54.353;21.671;121.306;7.40;9;9;9
BENCH;86;423.30;1.020;1.023;121;118.3;4999.7;554.4;8;0;1800;21.237;0.000;84.485;7.00;7;9;9
BENCH;87;424.32;1.020;1.025;111;108.3;4999.7;554.4;26;8;5850;70.036;21.671;143.422;7.46;9;8;9
BENCH;88;425.34;1.020;1.017;116;114.0;4999.7;554.4;16;8;3600;42.843;21.862;108.972;8.50;9;9;9
BENCH;89;426.36;1.020;1.024;116;113.3;4999.7;554.4;18;8;4050;48.074;21.505;115.137;6.89;9;9;9
BENCH;90;427.38;1.020;1.017;115;113.0;4999.7;554.4;26;0;5850;68.565;0.000;129.877;7.00;8;9;9
BENCH;91;428.40;1.020;1.026;120;117.0;4999.7;554.4;8;8;1800;21.791;21.791;88.389;9.00;9;9;9
BENCH;92;429.42;1.020;1.017;117;115.1;4999.7;554.4;16;8;3600;42.869;21.879;111.283;8.50;9;9;9
BENCH;93;430.44;1.020;1.018;116;114.0;4999.7;554.4;16;8;3600;42.624;21.634;107.649;8.50;9;9;9
BENCH;94;431.46;1.020;1.031;120;116.4;4999.7;554.4;10;8;2250;27.504;22.125;96.183;8.20;9;9;9
BENCH;95;432.48;1.020;1.010;117;115.9;4999.7;554.4;16;0;3600;43.126;0.000;105.907;6.50;8;9;9
BENCH;96;433.50;1.020;1.027;121;117.8;4999.7;554.4;8;8;1800;21.733;21.733;86.839;9.00;9;9;9
BENCH;97;434.52;1.020;1.015;115;113.3;4999.7;554.4;18;8;4050;48.376;21.844;115.308;7.67;9;9;9
BENCH;98;435.54;1.020;1.017;120;118.0;4999.7;554.4;10;0;2250;26.421;0.000;86.577;7.40;8;9;9
BENCH;99;436.56;1.020;1.020;117;114.7;4999.7;554.4;16;8;3600;42.626;21.593;110.200;8.50;9;9;9
BENCH;100;437.58;1.020;1.022;120;117.4;4999.7;554.4;10;8;2250;27.265;21.758;90.409;7.80;9;9;9
BENCH;101;438.60;1.020;1.025;109;106.3;4999.7;554.4;40;8;9000;107.337;21.721;172.193;7.40;9;9;9
BENCH;102;439.62;1.020;1.024;120;117.2;4999.7;554.4;8;8;1800;22.195;22.195;88.421;9.00;9;9;9
BENCH;103;440.64;1.020;1.010;119;117.8;4999.7;554.4;8;0;1800;21.236;0.000;80.547;8.00;8;9;9
BENCH;104;441.66;1.020;1.024;114;111.3;4999.7;554.4;24;8;5400;64.555;21.646;132.638;7.33;9;9;9
BENCH;105;442.68;1.020;1.017;121;119.0;4999.7;554.4;8;8;1800;21.961;21.961;88.550;9.00;9;9;9
BENCH;106;443.70;1.020;1.018;120;117.9;4999.7;554.4;10;0;2250;26.236;0.000;86.682;7.40;8;9;9
BENCH;107;444.72;1.020;1.024;121;118.2;4999.7;554.4;8;8;1800;21.564;21.564;87.067;9.00;9;9;9
BENCH;108;445.74;1.020;1.017;109;107.2;4999.7;554.4;38;8;8550;102.304;21.939;165.351;6.68;9;9;9
BENCH;109;446.76;1.020;1.025;116;113.2;4999.7;554.4;18;8;4050;48.923;22.288;115.517;7.22;9;9;9
BENCH;110;447.78;1.020;1.016;120;118.1;4999.7;554.4;10;0;2250;26.736;0.000;89.588;7.40;8;9;9
BENCH;111;448.80;1.020;1.026;121;118.0;4999.7;554.4;8;8;1800;21.673;21.673;85.711;9.00;9;9;9
BENCH;112;449.82;1.020;1.018;117;115.0;4999.7;554.4;16;0;3600;42.060;0.000;102.745;7.50;8;9;9
BENCH;113;450.84;1.020;1.015;116;114.3;4999.7;554.4;18;8;4050;48.409;21.880;113.535;7.67;9;9;9
BENCH;114;451.86;1.020;1.025;118;115.1;4999.7;554.4;16;8;3600;43.053;21.994;109.572;8.50;9;9;9
BENCH;115;452.88;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.194;22.022;109.373;8.50;9;9;9
BENCH;116;453.90;1.020;1.025;121;118.0;4999.7;554.4;8;8;1800;21.980;21.980;85.245;9.00;9;9;9
BENCH;117;454.92;1.020;1.016;116;114.1;4999.7;554.4;16;8;3600;42.729;21.804;105.855;8.50;9;9;9
BENCH;118;455.94;1.020;1.021;123;120.5;4999.7;554.4;2;0;450;5.443;0.000;66.790;5.00;5;9;9
BENCH;119;456.96;1.020;1.021;115;112.6;4999.7;554.4;24;8;5400;64.329;21.644;127.481;8.00;9;9;9
BENCH;120;457.98;1.020;1.018;119;116.9;4999.7;554.4;8;8;1800;21.941;21.941;89.090;9.00;9;9;9
BENCH;121;459.00;1.020;1.023;117;114.4;4999.7;554.4;16;8;3600;43.129;22.065;106.904;8.50;9;9;9
BENCH;122;460.02;1.020;1.017;118;116.0;4999.7;554.4;18;0;4050;48.078;0.000;106.442;5.89;8;9;9
BENCH;123;461.04;1.020;1.016;113;111.2;4999.7;554.4;26;8;5850;69.833;22.136;136.831;7.46;9;9;9
BENCH;124;462.06;1.020;1.026;116;113.1;4999.7;554.4;24;8;5400;64.615;21.980;129.307;7.67;9;9;9
BENCH;125;463.08;1.020;1.016;119;117.1;4999.7;554.4;8;8;1800;21.717;21.717;87.951;9.00;9;9;9
BENCH;126;464.10;1.020;1.025;117;114.1;4999.7;554.4;16;8;3600;45.487;24.467;108.888;8.50;9;9;9
BENCH;127;465.12;1.020;1.016;120;118.1;4999.7;554.4;12;0;2700;34.358;0.000;95.616;6.50;8;9;9
BENCH;128;466.14;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;21.841;21.841;86.562;9.00;9;9;9
BENCH;129;467.16;1.020;1.025;117;114.1;4999.7;554.4;16;8;3600;43.460;21.869;107.670;6.50;9;9;9
BENCH;130;468.18;1.020;1.017;114;112.0;4999.7;554.4;26;0;5850;69.045;0.000;129.449;6.62;8;8;9
BENCH;131;469.20;1.020;1.016;116;114.2;4999.7;554.4;16;8;3600;43.419;21.967;110.710;8.50;9;9;9
BENCH;132;470.22;1.020;1.025;118;115.2;4999.7;554.4;18;8;4050;48.673;21.944;113.236;7.22;9;8;9
BENCH;133;471.24;1.020;1.017;115;113.1;4999.7;554.4;24;8;5400;64.478;21.892;130.533;7.33;9;9;9
BENCH;134;472.26;1.020;1.025;118;115.1;4999.7;554.4;16;0;3600;42.601;0.000;106.025;7.00;7;9;9
BENCH;135;473.28;1.020;1.016;117;115.1;4999.7;554.4;16;8;3600;43.676;22.166;107.944;8.50;9;9;9
BENCH;136;474.30;1.020;1.027;117;114.0;4999.7;554.4;10;8;2250;29.250;23.803;98.956;8.20;9;9;9
BENCH;137;475.32;1.020;1.015;116;114.3;4999.7;554.4;18;8;4050;48.272;21.886;111.480;8.11;9;9;9
BENCH;138;476.34;1.020;1.019;120;117.7;4999.7;554.4;8;0;1800;21.826;0.000;79.787;8.00;8;9;9
BENCH;139;477.36;1.020;1.023;120;117.3;4999.7;554.4;8;8;1800;21.866;21.866;89.002;9.00;9;9;9
BENCH;140;478.38;1.020;1.018;112;110.1;4999.7;554.4;24;8;5400;66.502;21.730;129.823;6.00;9;9;9
BENCH;141;479.40;1.020;1.016;117;115.2;4999.7;554.4;18;0;4050;47.826;0.000;110.981;7.22;8;9;9
BENCH;142;480.42;1.040;1.043;119;114.1;4999.7;554.4;18;8;4050;48.734;22.093;115.535;7.89;9;9;9
BENCH;143;481.46;1.020;1.024;119;116.2;4999.7;554.4;12;8;2700;32.909;21.884;95.892;7.00;9;9;9
BENCH;144;482.48;1.020;1.016;120;118.1;4999.7;554.4;8;0;1800;20.819;0.000;83.091;8.00;8;9;9
BENCH;145;483.50;1.020;1.017;117;115.1;4999.7;554.4;16;8;3600;43.500;21.686;105.933;8.00;9;9;9
BENCH calibration;quads=30;refusedQuads=0;verticesPerFormula=54000;stockNsPerVertex=260.0;stockHoistedNsPerVertex=174.8;fixedNsPerVertex=87.8;transformReadsNsPerVertex=85.2;arithmeticNsPerVertex=-87.0;differenceNsPerVertex=-172.2
BENCH end
