BENCH sphere;name=Mun;radius=200000;minLevel=2;maxLevel=9;highestLevelUnder=6250;subdivisionOffAbove=20000000;maxAnglePerSample=9.204E-005;speedCapAt60Fps=1104
BENCH colliders;name=Mun;maxLevelOffset=0;lowestLevelWithCollider=9
BENCH begin;mode=Calibrate;samples=146;verticesPerQuad=225;warpedSeconds=0;fix=0.1.0.0;fixPatching=True
BENCH;sample;ut;utSpan;realSeconds;frames;fps;altitude;speed;quads;topLevelQuads;vertices;buildMs;topLevelBuildMs;updateMs;subdivisionAvg;subdivisionMax;speedLevelCap;maxLevel
BENCH;86;423.36;1.020;1.015;120;118.3;4999.7;554.4;8;0;1800;21.821;0.000;86.298;7.00;7;9;9
BENCH;87;424.38;1.020;1.025;110;107.3;4999.7;554.4;26;8;5850;70.658;22.548;146.172;7.46;9;8;9
BENCH;88;425.40;1.020;1.025;117;114.2;4999.7;554.4;16;8;3600;44.013;21.898;112.814;8.50;9;9;9
BENCH;89;426.42;1.020;1.016;114;112.2;4999.7;554.4;18;8;4050;48.348;21.777;117.957;6.89;9;9;9
BENCH;90;427.44;1.020;1.017;113;111.1;4999.7;554.4;26;0;5850;68.778;0.000;132.541;7.00;8;9;9
BENCH;91;428.46;1.020;1.025;120;117.1;4999.7;554.4;8;8;1800;21.860;21.860;91.028;9.00;9;9;9
BENCH;92;429.48;1.020;1.017;116;114.1;4999.7;554.4;16;8;3600;43.520;21.802;113.768;8.50;9;9;9
BENCH;93;430.50;1.020;1.018;116;114.0;4999.7;554.4;16;8;3600;43.244;22.080;111.273;8.50;9;9;9
BENCH;94;431.52;1.020;1.024;119;116.2;4999.7;554.4;10;8;2250;27.214;21.839;98.691;8.20;9;9;9
BENCH;95;432.54;1.020;1.016;117;115.1;4999.7;554.4;16;0;3600;43.274;0.000;107.774;6.50;8;9;9
BENCH;96;433.56;1.020;1.025;120;117.1;4999.7;554.4;8;8;1800;21.748;21.748;89.525;9.00;9;9;9
BENCH;97;434.58;1.020;1.017;116;114.1;4999.7;554.4;18;8;4050;48.430;21.889;117.172;7.67;9;9;9
BENCH;98;435.60;1.020;1.025;120;117.0;4999.7;554.4;10;0;2250;26.253;0.000;88.894;7.40;8;9;9
BENCH;99;436.62;1.020;1.016;116;114.2;4999.7;554.4;16;8;3600;42.679;21.807;112.973;8.50;9;9;9
BENCH;100;437.64;1.020;1.017;118;116.0;4999.7;554.4;10;8;2250;27.474;22.051;93.210;7.80;9;9;9
BENCH;101;438.66;1.020;1.026;108;105.2;4999.7;554.4;40;8;9000;106.576;22.014;174.780;7.40;9;9;9
BENCH;102;439.68;1.020;1.016;119;117.1;4999.7;554.4;8;8;1800;21.955;21.955;91.393;9.00;9;9;9
BENCH;103;440.70;1.020;1.024;121;118.2;4999.7;554.4;8;0;1800;21.060;0.000;83.987;8.00;8;9;9
BENCH;104;441.72;1.020;1.017;113;111.1;4999.7;554.4;24;8;5400;64.436;21.888;137.331;7.33;9;9;9
BENCH;105;442.74;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;22.029;22.029;88.953;9.00;9;9;9
BENCH;106;443.76;1.020;1.024;120;117.2;4999.7;554.4;10;0;2250;26.938;0.000;91.702;7.40;8;9;9
BENCH;107;444.78;1.020;1.017;119;117.0;4999.7;554.4;8;8;1800;21.699;21.699;89.135;9.00;9;9;9
